interval_start,house,consumption_kwh,pv_generation_kwh,meter_import_kwh,meter_export_kwh,p2p_bought_kwh,p2p_sold_kwh,p2p_price_usd_per_kwh
1/15/2025 0:00,H1,0.477,0.019,0.458,0,0,0,0
1/15/2025 0:00,H2,0.477,0.048,0.429,0,0,0,0
1/15/2025 0:00,H3,0.658,0.037,0.621,0,0,0,0
1/15/2025 0:00,H4,0.577,0.03,0.547,0,0,0,0
1/15/2025 1:00,H1,0.454,0.001,0.453,0,0,0,0
1/15/2025 1:00,H2,0.453,0.048,0.405,0,0,0,0
1/15/2025 1:00,H3,0.524,0.042,0.483,0,0,0,0
1/15/2025 1:00,H4,0.309,0.011,0.298,0,0,0,0
1/15/2025 2:00,H1,0.409,0.022,0.388,0,0,0,0
1/15/2025 2:00,H2,0.359,0.015,0.344,0,0,0,0
1/15/2025 2:00,H3,0.647,0.031,0.616,0,0,0,0
1/15/2025 2:00,H4,0.477,0.007,0.47,0,0,0,0
1/15/2025 3:00,H1,0.385,0.01,0.375,0,0,0,0
1/15/2025 3:00,H2,0.538,0.026,0.512,0,0,0,0
1/15/2025 3:00,H3,0.44,0.03,0.41,0,0,0,0
1/15/2025 3:00,H4,0.471,0.002,0.469,0,0,0,0
1/15/2025 4:00,H1,0.582,0.034,0.548,0,0,0,0
1/15/2025 4:00,H2,0.378,0.022,0.356,0,0,0,0
1/15/2025 4:00,H3,0.521,0.006,0.515,0,0,0,0
1/15/2025 4:00,H4,0.304,0.025,0.279,0,0,0,0
1/15/2025 5:00,H1,0.574,0.027,0.547,0,0,0,0
1/15/2025 5:00,H2,0.517,0.009,0.508,0,0,0,0
1/15/2025 5:00,H3,0.488,0.048,0.44,0,0,0,0
1/15/2025 5:00,H4,0.47,0.039,0.431,0,0,0,0
1/15/2025 6:00,H1,0.534,0.019,0.515,0,0,0,0
1/15/2025 6:00,H2,0.324,0.014,0.31,0,0,0,0
1/15/2025 6:00,H3,0.532,0.041,0.491,0,0,0,0
1/15/2025 6:00,H4,0.461,0.018,0.444,0,0,0,0
1/15/2025 7:00,H1,0.603,0.314,0.289,0,0,0,0
1/15/2025 7:00,H2,0.593,0.256,0.337,0,0,0,0
1/15/2025 7:00,H3,0.416,0.297,0.119,0,0,0,0
1/15/2025 7:00,H4,0.469,0.139,0.33,0,0,0,0
1/15/2025 8:00,H1,0.389,0.643,0,0.254,0,0.254,0.116
1/15/2025 8:00,H2,0.38,0.431,0,0.051,0,0.051,0.116
1/15/2025 8:00,H3,0.581,0.517,0.065,0,0.044,0,0.116
1/15/2025 8:00,H4,0.636,0.253,0.382,0,0.261,0,0.116
1/15/2025 9:00,H1,0.536,0.893,0,0.357,0,0.206,0.098
1/15/2025 9:00,H2,0.654,0.589,0.065,0,0.065,0,0.098
1/15/2025 9:00,H3,0.496,0.713,0,0.217,0,0.125,0.098
1/15/2025 9:00,H4,0.656,0.389,0.267,0,0.267,0,0.098
1/15/2025 10:00,H1,0.509,1.065,0,0.557,0,0,0
1/15/2025 10:00,H2,0.47,0.714,0,0.244,0,0,0
1/15/2025 10:00,H3,0.509,0.867,0,0.358,0,0,0
1/15/2025 10:00,H4,0.301,0.438,0,0.137,0,0,0
1/15/2025 11:00,H1,0.419,1.204,0,0.785,0,0.006,0.09
1/15/2025 11:00,H2,0.45,0.785,0,0.335,0,0.003,0.09
1/15/2025 11:00,H3,0.592,0.986,0,0.395,0,0.003,0.09
1/15/2025 11:00,H4,0.533,0.521,0.012,0,0.012,0,0.09
1/15/2025 12:00,H1,0.43,1.24,0,0.81,0,0,0
1/15/2025 12:00,H2,0.467,0.809,0,0.342,0,0,0
1/15/2025 12:00,H3,0.461,1.045,0,0.584,0,0,0
1/15/2025 12:00,H4,0.354,0.527,0,0.173,0,0,0
1/15/2025 13:00,H1,0.358,1.2,0,0.842,0,0,0
1/15/2025 13:00,H2,0.458,0.816,0,0.358,0,0,0
1/15/2025 13:00,H3,0.466,0.966,0,0.501,0,0,0
1/15/2025 13:00,H4,0.42,0.509,0,0.089,0,0,0
1/15/2025 14:00,H1,0.526,1.086,0,0.561,0,0.012,0.09
1/15/2025 14:00,H2,0.493,0.709,0,0.216,0,0.005,0.09
1/15/2025 14:00,H3,0.308,0.892,0,0.584,0,0.013,0.09
1/15/2025 14:00,H4,0.497,0.468,0.029,0,0.029,0,0.09
1/15/2025 15:00,H1,0.481,0.863,0,0.382,0,0.003,0.09
1/15/2025 15:00,H2,0.53,0.568,0,0.037,0,0,0.09
1/15/2025 15:00,H3,0.497,0.738,0,0.241,0,0.002,0.09
1/15/2025 15:00,H4,0.383,0.379,0.004,0,0.004,0,0.09
1/15/2025 16:00,H1,0.579,0.649,0,0.07,0,0.07,0.121
1/15/2025 16:00,H2,0.409,0.412,0,0.003,0,0.003,0.121
1/15/2025 16:00,H3,0.64,0.534,0.107,0,0.044,0,0.121
1/15/2025 16:00,H4,0.36,0.288,0.072,0,0.029,0,0.121
1/15/2025 17:00,H1,0.401,0.342,0.059,0,0,0,0
1/15/2025 17:00,H2,0.443,0.234,0.21,0,0,0,0
1/15/2025 17:00,H3,0.51,0.263,0.247,0,0,0,0
1/15/2025 17:00,H4,0.45,0.171,0.278,0,0,0,0
1/15/2025 18:00,H1,0.394,0.034,0.36,0,0,0,0
1/15/2025 18:00,H2,0.547,0.001,0.547,0,0,0,0
1/15/2025 18:00,H3,0.408,0.026,0.382,0,0,0,0
1/15/2025 18:00,H4,0.655,0.011,0.644,0,0,0,0
1/15/2025 19:00,H1,0.581,0.047,0.535,0,0,0,0
1/15/2025 19:00,H2,0.377,0.007,0.37,0,0,0,0
1/15/2025 19:00,H3,0.523,0.017,0.506,0,0,0,0
1/15/2025 19:00,H4,0.631,0.006,0.625,0,0,0,0
1/15/2025 20:00,H1,0.526,0.026,0.5,0,0,0,0
1/15/2025 20:00,H2,0.578,0.012,0.566,0,0,0,0
1/15/2025 20:00,H3,0.376,0.005,0.372,0,0,0,0
1/15/2025 20:00,H4,0.368,0.045,0.323,0,0,0,0
1/15/2025 21:00,H1,0.432,0.036,0.396,0,0,0,0
1/15/2025 21:00,H2,0.523,0.045,0.478,0,0,0,0
1/15/2025 21:00,H3,0.529,0.044,0.485,0,0,0,0
1/15/2025 21:00,H4,0.429,0.039,0.39,0,0,0,0
1/15/2025 22:00,H1,0.381,0,0.381,0,0,0,0
1/15/2025 22:00,H2,0.566,0.008,0.558,0,0,0,0
1/15/2025 22:00,H3,0.403,0.027,0.375,0,0,0,0
1/15/2025 22:00,H4,0.579,0.035,0.544,0,0,0,0
1/15/2025 23:00,H1,0.582,0.016,0.566,0,0,0,0
1/15/2025 23:00,H2,0.69,0.037,0.652,0,0,0,0
1/15/2025 23:00,H3,0.475,0.032,0.443,0,0,0,0
1/15/2025 23:00,H4,0.425,0.042,0.382,0,0,0,0
